"ID","start_age","grid","death_day","death_age"
1,43,2,18548,93.8164
2,70,1,4066,81.1397
3,49,1,10167,76.8548
4,76,1,2871,83.8658
5,82,3,717,83.9644
6,32,1,15512,74.4986
7,55,2,17484,102.9014
8,77,2,5710,92.6438
9,56,2,7334,76.0932
10,52,2,10463,80.6658
11,83,2,1499,87.1068
12,51,3,10323,79.2822
13,63,3,9276,88.4137
14,57,1,2467,63.7589
15,34,1,19203,86.611
16,78,3,1132,81.1014
17,41,2,16892,87.2795
18,31,3,20596,87.4274
19,45,1,16597,90.4712
20,83,1,4138,94.337
21,77,1,4892,90.4027
22,64,1,8737,87.937
23,61,3,11409,92.2575
24,89,1,4933,102.5151
25,62,2,10418,90.5425
26,65,2,3171,73.6877
27,56,3,8931,80.4685
28,59,3,2369,65.4904
29,43,2,8330,65.8219
30,36,1,22447,97.4986
31,84,1,2533,90.9397
32,78,3,5081,91.9205
33,64,2,8819,88.1616
34,70,2,5165,84.1507
35,31,1,21704,90.463
36,53,3,6737,71.4575
37,68,3,8580,91.5068
38,40,1,17464,87.8466
39,45,2,768,47.1041
40,41,1,9410,66.7808
41,36,1,15336,78.0164
42,49,2,9778,75.789
43,49,2,13778,86.7479
44,47,2,10767,76.4986
45,37,1,17679,85.4356
46,36,1,15995,79.8219
47,41,1,11842,73.4438
48,52,1,10674,81.2438
49,42,3,16938,88.4055
50,74,3,2111,79.7836
51,32,3,23176,95.4959
52,51,1,12984,86.5726
53,70,3,3203,78.7753
54,35,3,16312,79.6904
55,57,1,12844,92.189
56,39,2,15031,80.1808
57,36,1,16087,80.074
58,68,2,3304,77.0521
59,77,3,6205,94
60,47,1,6626,65.1534
61,62,1,2849,69.8055
62,34,3,23306,97.8521
63,48,2,14060,86.5205
64,43,2,21456,101.7836
65,71,2,7345,91.1233
66,51,2,8270,73.6575
67,71,2,6665,89.2603
68,71,3,4834,84.2438
69,70,1,10272,98.1425
70,51,2,10194,78.9288
71,68,2,9723,94.6384
72,60,3,2679,67.3397
73,65,1,13414,101.7507
74,30,1,13581,67.2082
75,52,3,15648,94.8712
76,40,1,14365,79.3562
77,48,3,13188,84.1315
78,60,2,13362,96.6082
79,46,3,14611,86.0301
80,35,3,14037,73.4575
81,41,2,5716,56.6603
82,63,3,7355,83.1507
83,50,1,15450,92.3288
84,70,1,4759,83.0384
85,34,1,20420,89.9452
86,50,1,4493,62.3096
87,87,2,2453,93.7205
88,77,3,4944,90.5452
89,77,1,6352,94.4027
90,38,2,7819,59.4219
91,36,1,20109,91.0932
92,62,3,2223,68.0904
93,46,1,17010,92.6027
94,62,2,11573,93.7068
95,45,3,17859,93.9288
96,38,1,15166,79.5507
97,69,1,7233,88.8164
98,34,3,23880,99.4247
99,52,2,12762,86.9644
100,54,2,6829,72.7096
101,59,2,14655,99.1507
102,45,1,12068,78.063
103,53,1,12632,87.6082
104,83,1,4375,94.9863
105,53,1,14537,92.8274
106,77,2,4905,90.4384
107,79,1,5859,95.0521
108,59,3,12515,93.2877
109,49,3,12257,82.5808
110,36,3,22689,98.1616
111,81,1,1573,85.3096
112,44,2,18413,94.4466
113,32,3,6488,49.7753
114,82,2,5530,97.1507
115,66,1,8998,90.6521
116,36,3,7582,56.7726
117,56,2,2021,61.537
118,83,3,3803,93.4192
119,58,1,12946,93.4685
120,49,2,7303,69.0082
121,62,3,4606,74.6192
122,45,1,5085,58.9315
123,44,1,565,45.5479
124,40,1,5052,53.8411
125,47,1,12358,80.8575
126,87,1,2971,95.1397
127,37,1,18623,88.0219
128,34,2,16807,80.0466
129,36,2,16173,80.3096
130,64,2,8684,87.7918
131,60,2,1123,63.0767
132,77,3,2625,84.1918
133,63,2,11299,93.9562
134,67,2,6745,85.4795
135,55,1,3028,63.2959
136,62,3,7695,83.0822
137,72,1,1031,74.8247
138,70,1,4293,81.7616
139,87,3,1330,90.6438
140,51,2,5149,65.1068
141,44,1,13181,80.1123
142,49,3,1124,52.0795
143,30,2,20387,85.8548
144,38,3,15536,80.5644
145,73,2,5675,88.5479
146,40,2,13057,75.7726
147,41,3,10760,70.4795
148,33,1,16219,77.4356
149,41,2,2185,46.9863
150,66,3,5476,81.0027
151,74,3,4669,86.7918
152,54,1,12891,89.3178
153,48,1,17216,95.1671
154,41,3,8333,63.8301
155,35,2,19682,88.9233
156,48,3,894,50.4493
157,57,1,7728,78.1726
158,40,3,175,40.4795
159,51,1,12242,84.5397
160,40,3,13924,78.1479
161,54,1,10632,83.1288
162,46,2,11712,78.0877
163,62,3,8053,84.063
164,47,3,15404,89.2027
165,47,2,17642,95.3342
166,55,1,7906,76.6603
167,67,1,6576,85.0164
168,40,1,20303,95.6247
169,49,1,7089,68.4219
170,42,1,15962,85.7315
171,61,2,4753,74.0219
172,38,3,14235,77
173,75,3,2402,81.5808
174,67,1,6609,85.1068
175,63,1,8631,86.6466
176,60,1,4879,73.3671
177,47,2,13191,83.1397
178,55,3,8849,79.2438
179,76,2,7299,95.9973
180,58,2,10796,87.5781
181,73,3,4586,85.5644
182,44,1,15019,85.1479
183,65,3,5497,80.0603
184,42,3,19512,95.4575
185,59,2,1387,62.8
186,53,1,17214,100.1616
187,42,3,8257,64.6219
